0.000 	0.800 	0
-1.050 	0.800 	0
-1.050 	1.175 	0
-0.950 	1.175 	0
-0.950 	0.900 	0
0.000 	0.900 	0
0.000 	1.700 	0
-0.950 	1.700 	0
-0.950 	1.425 	0
-1.050 	1.425 	0
-1.050 	1.800 	0
0.000 	1.800 	0
0.000 	2.600 	0
-1.250 	2.600 	0
-1.250 	1.425 	0
-1.550 	1.425 	0
-1.550 	2.600 	0
-2.800 	2.600 	0
-2.800 	1.800 	0
-1.750 	1.800 	0
-1.750 	1.425 	0
-1.850 	1.425 	0
-1.850 	1.700 	0
-2.800 	1.700 	0
-2.800 	0.900 	0
-1.850 	0.900 	0
-1.850 	1.175 	0
-1.750 	1.175 	0
-1.750 	0.800 	0
-2.800 	0.800 	0
-2.800 	0.000 	0
-1.550 	0.000 	0
-1.550 	1.175 	0
-1.250 	1.175 	0
-1.250 	0.000 	0
0.000 	0.000 	0
